Task name,Property,Assignee,Completed on,Delay,Due,Parent-task,Priority,Project,Sub-tasks,Tags
Write research report,Not Started,Ben Lang,,,"May 22, 2024",,High,,,Research
Create product demo video,Done,Nate Martins,"May 1, 2024",2,"April 29, 2024",,High,,,
Define target audience,Done,Sohrab Amin,"May 1, 2024",14,"April 17, 2024",,Low,,Untitled (https://www.notion.so/5d11d9fd7de5484e857817663cc5fd19?pvs=21),"Improvement, Marketing"
CONNECT WITH SERVERLESS (NEON),Done,Win Pear,,,"March 4, 2026 → May 30, 2026",,Medium,BE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/BE%20319066011123807380d2d5ce89386cad.md),,"App, Database"
CREATE DATABASE,Done,Huỳnh Gia Thịnh,,,"March 4, 2026 → March 9, 2026",,High,BE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/BE%20319066011123807380d2d5ce89386cad.md),,"App, Database"
Monitor launch performance,In Progress,Ben Lang,"May 21, 2024",12,"May 9, 2024",,High,,,Metrics
Interpret findings,In Progress,Nate Martins,,,"May 19, 2024",,Medium,,,Research
Create performance marketing plan,Not Started,Nate Martins,,,"May 2, 2023",Develop advertising plan (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/Develop%20advertising%20plan%2031906601112381f6a5d9e38905be2bb8.md),Medium,,,"Improvement, Marketing"
Create product positioning,Done,Sohrab Amin,"May 3, 2024",2,"May 1, 2024",,High,,,Branding
Conduct interviews,In Progress,Sohrab Amin,,,"May 12, 2024",,High,,,Research
FEATURE: Filter Books (book),Done,Đơn Thuần,,,"March 31, 2026 → April 10, 2026",FEATURE: Book page (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/FEATURE%20Book%20page%2031e066011123808eb579f40e2ed5f3b9.md),High,FE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/FE%203190660111238173bacecef41942d651.md),"Design Search bar (track name, author, categories, ….) (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/Design%20Search%20bar%20(track%20name,%20author,%20categories,%2031e066011123808bb86efa13cb4b6b3c.md), Advanced filter (Choose category, filter by prices …) (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/Advanced%20filter%20(Choose%20category,%20filter%20by%20prices%2031e0660111238099bd21ca03517c34db.md), Connect with API backend to transmit params (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/Connect%20with%20API%20backend%20to%20transmit%20params%2031e0660111238008a350d6d7763abf1f.md)",App
Develop survey questions,Done,Sohrab Amin,"April 28, 2024",7,"April 21, 2024",,Medium,,,Research
FEATURE: Authentication (Login/ Sign in),Done,Win Pear,,,"March 4, 2026 → March 30, 2026",,High,FE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/FE%203190660111238173bacecef41942d651.md),"Design Layout Login (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/Design%20Layout%20Login%2031e066011123804da26cfe2e96f67622.md), Handle validation logic (Check null, email format, password length) (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/Handle%20validation%20logic%20(Check%20null,%20email%20format,%2031e06601112380119db5c3a784c8e11a.md), Call API Login, receive and save JWT Token (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/Call%20API%20Login,%20receive%20and%20save%20JWT%20Token%2031e066011123804d9b0fded466789aba.md), Handle Navigation to Main Window after Login Succesfully (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/Handle%20Navigation%20to%20Main%20Window%20after%20Login%20Succe%2031e06601112380ceb8a1fbc4b0f20d5c.md), Implement the forgot password feature (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/Implement%20the%20forgot%20password%20feature%2031e0660111238096a805e83021970531.md), Implement the ‘Remember Me’ feature (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/Implement%20the%20%E2%80%98Remember%20Me%E2%80%99%20feature%2031e06601112380ed9e88ed3f567b3640.md)",Design
Create social media plan,Not Started,Nate Martins,,,"May 2, 2023",Develop advertising plan (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/Develop%20advertising%20plan%2031906601112381f6a5d9e38905be2bb8.md),Medium,,,"Improvement, Marketing"
Develop new creative assets,Done,Sohrab Amin,"April 17, 2024",2,"April 15, 2024",,High,,,"Branding, Improvement, Marketing"
Report on marketing ROI,In Progress,Ben Lang,,,"May 5, 2024",,Medium,,,"Improvement, Marketing"
Develop advertising plan,Done,Nate Martins,"April 16, 2024",3,"April 13, 2024",,Medium,,"Create social media plan (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/Create%20social%20media%20plan%2031906601112381439084c3895f3ce4e9.md), Create performance marketing plan (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/Create%20performance%20marketing%20plan%20319066011123811fa5dac69f604d30fd.md)","Improvement, Marketing"
FEATURE: Book Sale Invoice,Done,Trung Lê Hữu,,,"March 31, 2026 → April 10, 2026",,High,FE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/FE%203190660111238173bacecef41942d651.md),"Design UI to make invoice (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/Design%20UI%20to%20make%20invoice%2031e06601112380dfa818d7616086c4b8.md), Implement add/delete books in cart, update quantity on hand (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/Implement%20add%20delete%20books%20in%20cart,%20update%20quantit%2031e06601112380178d70f8a50665c6a2.md), Calculate the total (Discount, tax,..) (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/Calculate%20the%20total%20(Discount,%20tax,%20)%2031e0660111238024b2a5c7c5d696ad46.md), Call API to save invoices to DB (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/Call%20API%20to%20save%20invoices%20to%20DB%2031e06601112380f9afedcf3d1bec0f44.md), Design template to print invoice and Export (PDF or bill) (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/Design%20template%20to%20print%20invoice%20and%20Export%20(PDF%20o%2031e06601112380889c02d1e111ce8673.md)",Design
FEATURE: Employee management,Done,Trung Lê Hữu,,,"March 31, 2026 → April 10, 2026",,Medium,FE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/FE%203190660111238173bacecef41942d651.md),"Design UI for employee management (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/Design%20UI%20for%20employee%20management%2031e0660111238026bcd6d31dec7563ca.md), CRUD for employ  (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/CRUD%20for%20employ%2031e06601112380da85e1c162abbdd80b.md), Implement role-based access control on the UI (Ex: Sales staff cannot see the Reports menu,….) (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/Implement%20role-based%20access%20control%20on%20the%20UI%20(Ex%20%2031e066011123802aa838efc0fb5c004f.md)",Design
FEATURE: Make Monthly Report,Done,Win Pear,,,"March 31, 2026 → April 10, 2026",,High,FE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/FE%203190660111238173bacecef41942d651.md),"Desing filter to (Month/Year) to review report (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/Desing%20filter%20to%20(Month%20Year)%20to%20review%20report%2031e06601112380ff8420c379e1be3d81.md), Intergate Charts (Library) to show revenue (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/Intergate%20Charts%20(Library)%20to%20show%20revenue%2031e066011123801584e2da271b09ca10.md), Design for certainly show (inventory report, import report,….) (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/Design%20for%20certainly%20show%20(inventory%20report,%20impor%2031e06601112380569ad2fc787d0b45e7.md), Export to Excel or PDF) (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/Export%20to%20Excel%20or%20PDF)%2031e066011123809cb819d0ba3b4a91af.md)",Design
FEATURE: CURD for books (Inventory),Done,Đơn Thuần,,,"March 31, 2026 → April 10, 2026",,High,FE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/FE%203190660111238173bacecef41942d651.md),"Design List book (Not book cover) (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/Design%20List%20book%20(Not%20book%20cover)%2031e066011123807f9de4f902c33a664c.md), Intergrate API take list books and show (read) (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/Intergrate%20API%20take%20list%20books%20and%20show%20(read)%2031e06601112380d6bd68e3f4647a8927.md), Design Form/Dialog Create and call API (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/Design%20Form%20Dialog%20Create%20and%20call%20API%2031e06601112380f6be78f525610a1c1e.md), Design Form/Dialog Update book information and call API (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/Design%20Form%20Dialog%20Update%20book%20information%20and%20cal%2031e066011123806887e3c6bbc870266d.md), Design Form/Dialog Delete books (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/Design%20Form%20Dialog%20Delete%20books%2031e06601112380ebad6dd2137ba9d835.md)",Design
FEATURE: Cash receipt,Done,Trung Lê Hữu,,,"March 31, 2026 → April 10, 2026",,Medium,FE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/FE%203190660111238173bacecef41942d651.md),"Design payment format (choose customer, CreateDate,…) (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/Design%20payment%20format%20(choose%20customer,%20CreateDate%2031e066011123805ca254cf693bc23f30.md), Check logic (for Loan followed by regulations) (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/Check%20logic%20(for%20Loan%20followed%20by%20regulations)%2031e06601112380cca714f70dca1a15af.md), Call API to save payments (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/Call%20API%20to%20save%20payments%2031e066011123802bb7d5ddf2d0a9776e.md), Print invoice and Export payment (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/Print%20invoice%20and%20Export%20payment%2031e06601112380e49b0dc913d6dbbbef.md)",Design
FEATURE: Main Layout & Navigation,Done,Đơn Thuần,,,"March 4, 2026 → March 30, 2026",,High,FE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/FE%203190660111238173bacecef41942d651.md),"Design Main Window layout (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/Design%20Main%20Window%20layout%2031e066011123803cbde9e1aeafe1fc60.md), Make Slide bar and Top Navigation  (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/Make%20Slide%20bar%20and%20Top%20Navigation%2031e066011123807cb8dfd26b5077bb7f.md), Set up Frame or Content Control for sub-page (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/Set%20up%20Frame%20or%20Content%20Control%20for%20sub-page%2031e0660111238009906cf0a90ee40ba7.md), Write Navigation between page (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/Write%20Navigation%20between%20page%2031e0660111238071b1f3d970155bf9f4.md)",Design
API Intergration Services,Done,Win Pear,,,"March 4, 2026 → June 5, 2026",,High,FE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/FE%203190660111238173bacecef41942d651.md),"Set up HttpCLient with Base URL (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/Set%20up%20HttpCLient%20with%20Base%20URL%2031e06601112380afa04bdaffb56a3e91.md), Attach the JWT token to the request header that require authentication (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/Attach%20the%20JWT%20token%20to%20the%20request%20header%20that%20re%2031e06601112380338009e9a98c5507d5.md), Handle common HTTP errors and display notifications (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/Handle%20common%20HTTP%20errors%20and%20display%20notification%2031e066011123802d8147d3a31eaa48bb.md), Create certain Service Class contains function call API (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/Create%20certain%20Service%20Class%20contains%20function%20cal%2031e06601112380dbaa8fd7d127988c24.md)",App
Set up HttpCLient with Base URL,Done,Win Pear,,,"March 4, 2026 → May 30, 2026",API Intergration Services (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/API%20Intergration%20Services%20319066011123809ea552c2208d2b3232.md),High,FE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/FE%203190660111238173bacecef41942d651.md),,"App, Database"
Attach the JWT token to the request header that require authentication,Done,Win Pear,,,"March 4, 2026 → May 30, 2026",API Intergration Services (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/API%20Intergration%20Services%20319066011123809ea552c2208d2b3232.md),High,FE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/FE%203190660111238173bacecef41942d651.md),,"App, Database"
Handle common HTTP errors and display notifications,Done,Win Pear,,,"March 4, 2026 → May 30, 2026",API Intergration Services (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/API%20Intergration%20Services%20319066011123809ea552c2208d2b3232.md),High,FE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/FE%203190660111238173bacecef41942d651.md),,"App, Database"
Create certain Service Class contains function call API,Done,Win Pear,,,"March 4, 2026 → May 30, 2026",API Intergration Services (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/API%20Intergration%20Services%20319066011123809ea552c2208d2b3232.md),High,FE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/FE%203190660111238173bacecef41942d651.md),,"App, Database"
Design Layout Login,Done,Win Pear,,,"March 4, 2026 → May 30, 2026",FEATURE: Authentication (Login/ Sign in) (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/FEATURE%20Authentication%20(Login%20Sign%20in)%2031906601112381cbb0e3e9ad1ef7b502.md),High,FE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/FE%203190660111238173bacecef41942d651.md),,App
"Handle validation logic (Check null, email format, password length)",Done,Win Pear,,,"March 4, 2026 → May 30, 2026",FEATURE: Authentication (Login/ Sign in) (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/FEATURE%20Authentication%20(Login%20Sign%20in)%2031906601112381cbb0e3e9ad1ef7b502.md),High,FE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/FE%203190660111238173bacecef41942d651.md),,App
"Call API Login, receive and save JWT Token",Done,Win Pear,,,"March 4, 2026 → May 30, 2026",FEATURE: Authentication (Login/ Sign in) (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/FEATURE%20Authentication%20(Login%20Sign%20in)%2031906601112381cbb0e3e9ad1ef7b502.md),High,FE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/FE%203190660111238173bacecef41942d651.md),,App
Handle Navigation to Main Window after Login Succesfully,Done,Win Pear,,,"March 4, 2026 → May 30, 2026",FEATURE: Authentication (Login/ Sign in) (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/FEATURE%20Authentication%20(Login%20Sign%20in)%2031906601112381cbb0e3e9ad1ef7b502.md),High,FE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/FE%203190660111238173bacecef41942d651.md),,App
Implement the forgot password feature,Done,Win Pear,,,"March 4, 2026 → May 30, 2026",FEATURE: Authentication (Login/ Sign in) (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/FEATURE%20Authentication%20(Login%20Sign%20in)%2031906601112381cbb0e3e9ad1ef7b502.md),Medium,FE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/FE%203190660111238173bacecef41942d651.md),,App
Implement the ‘Remember Me’ feature,Done,Win Pear,,,"March 4, 2026 → May 30, 2026",FEATURE: Authentication (Login/ Sign in) (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/FEATURE%20Authentication%20(Login%20Sign%20in)%2031906601112381cbb0e3e9ad1ef7b502.md),Medium,FE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/FE%203190660111238173bacecef41942d651.md),,App
Design Main Window layout,Done,Đơn Thuần,,,"March 4, 2026 → May 30, 2026",FEATURE: Main Layout & Navigation (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/FEATURE%20Main%20Layout%20&%20Navigation%203190660111238045af40d38da8356df1.md),High,FE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/FE%203190660111238173bacecef41942d651.md),,App
"Make Slide bar and Top Navigation ",Done,Đơn Thuần,,,"March 4, 2026 → May 30, 2026",FEATURE: Main Layout & Navigation (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/FEATURE%20Main%20Layout%20&%20Navigation%203190660111238045af40d38da8356df1.md),High,FE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/FE%203190660111238173bacecef41942d651.md),,App
Set up Frame or Content Control for sub-page,Done,Đơn Thuần,,,"March 4, 2026 → May 30, 2026",FEATURE: Main Layout & Navigation (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/FEATURE%20Main%20Layout%20&%20Navigation%203190660111238045af40d38da8356df1.md),High,FE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/FE%203190660111238173bacecef41942d651.md),,App
Write Navigation between page,Done,Đơn Thuần,,,"March 4, 2026 → May 30, 2026",FEATURE: Main Layout & Navigation (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/FEATURE%20Main%20Layout%20&%20Navigation%203190660111238045af40d38da8356df1.md),High,FE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/FE%203190660111238173bacecef41942d651.md),,App
Design List book (Not book cover),Done,Đơn Thuần,,,"March 4, 2026 → May 30, 2026",FEATURE: CURD for books (Inventory) (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/FEATURE%20CURD%20for%20books%20(Inventory)%2031906601112380c9afebf41febd7ddf9.md),High,FE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/FE%203190660111238173bacecef41942d651.md),,App
Intergrate API take list books and show (read),Done,Đơn Thuần,,,"March 4, 2026 → May 30, 2026",FEATURE: CURD for books (Inventory) (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/FEATURE%20CURD%20for%20books%20(Inventory)%2031906601112380c9afebf41febd7ddf9.md),High,FE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/FE%203190660111238173bacecef41942d651.md),,App
Design Form/Dialog Create and call API,Done,Đơn Thuần,,,"March 4, 2026 → May 30, 2026",FEATURE: CURD for books (Inventory) (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/FEATURE%20CURD%20for%20books%20(Inventory)%2031906601112380c9afebf41febd7ddf9.md),High,FE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/FE%203190660111238173bacecef41942d651.md),,App
Design Form/Dialog Update book information and call API,Done,Đơn Thuần,,,"March 4, 2026 → May 30, 2026",FEATURE: CURD for books (Inventory) (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/FEATURE%20CURD%20for%20books%20(Inventory)%2031906601112380c9afebf41febd7ddf9.md),High,FE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/FE%203190660111238173bacecef41942d651.md),,App
Design Form/Dialog Delete books,Done,Đơn Thuần,,,"March 4, 2026 → May 30, 2026",FEATURE: CURD for books (Inventory) (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/FEATURE%20CURD%20for%20books%20(Inventory)%2031906601112380c9afebf41febd7ddf9.md),High,FE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/FE%203190660111238173bacecef41942d651.md),,App
"Design Search bar (track name, author, categories, ….)",Not Started,Đơn Thuần,,,"March 4, 2026 → May 30, 2026",FEATURE: Filter Books (book) (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/FEATURE%20Filter%20Books%20(book)%203190660111238156be24e3bb571165a2.md),High,FE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/FE%203190660111238173bacecef41942d651.md),,App
"Advanced filter (Choose category, filter by prices …)",Not Started,Đơn Thuần,,,"March 4, 2026 → May 30, 2026",FEATURE: Filter Books (book) (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/FEATURE%20Filter%20Books%20(book)%203190660111238156be24e3bb571165a2.md),High,FE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/FE%203190660111238173bacecef41942d651.md),,App
Connect with API backend to transmit params,Not Started,Đơn Thuần,,,"March 4, 2026 → May 30, 2026",FEATURE: Filter Books (book) (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/FEATURE%20Filter%20Books%20(book)%203190660111238156be24e3bb571165a2.md),High,FE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/FE%203190660111238173bacecef41942d651.md),,App
FEATURE: Book page,Done,Đơn Thuần,,,"March 31, 2026 → April 10, 2026",,High,FE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/FE%203190660111238173bacecef41942d651.md),"FEATURE: Filter Books (book) (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/FEATURE%20Filter%20Books%20(book)%203190660111238156be24e3bb571165a2.md), Handle add to cart (for sale) (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/Handle%20add%20to%20cart%20(for%20sale)%2031e06601112380e480facff10edd68bf.md)",Design
Handle add to cart (for sale),Done,Đơn Thuần,,,"March 31, 2026 → April 10, 2026",FEATURE: Book page (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/FEATURE%20Book%20page%2031e066011123808eb579f40e2ed5f3b9.md),High,FE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/FE%203190660111238173bacecef41942d651.md),,"App, Design"
Design UI to make invoice,Done,Trung Lê Hữu,,,"March 31, 2026 → April 10, 2026",FEATURE: Book Sale Invoice (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/FEATURE%20Book%20Sale%20Invoice%203190660111238005bafac05ecb900582.md),High,FE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/FE%203190660111238173bacecef41942d651.md),,App
"Implement add/delete books in cart, update quantity on hand",Done,Trung Lê Hữu,,,"March 31, 2026 → April 10, 2026",FEATURE: Book Sale Invoice (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/FEATURE%20Book%20Sale%20Invoice%203190660111238005bafac05ecb900582.md),High,FE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/FE%203190660111238173bacecef41942d651.md),,App
"Calculate the total (Discount, tax,..)",Done,Trung Lê Hữu,,,"March 4, 2026 → May 30, 2026",FEATURE: Book Sale Invoice (PROJECT%20BOOKSTORE%20MANAGEMENT/Tasks/FEATURE%20Book%20Sale%20Invoice%203190660111238005bafac05ecb900582.md),High,FE (PROJECT%20BOOKSTORE%20MANAGEMENT/BOOKSTORE%20MANAGEMENT%20PROJECT/FE%203190660111238173bacecef41942d651.md),,App
